phrase,translation,comment,source,idiom
prevent him from reading,შეაწყვეტინე კითხვა,,,
pray to god,ილოცო ღმერთისადმი,,,
pray for sb.,ილოცო ვინმესთვის,,,
respond to,"პასუხი გასცე, უპასუხო",,,
reply to,"პასუხი გასცე, უპასუხო",,,
intelligent eyes,ჭკვიანი თვალები,,,
Don't be so big-headed.,ნუ გაქვს დიდი წარმოდგენა საკუთარ თავზე.,,,1
gallant,გალანტური,,,
I was absent from the event.,არ ვესწრებოდი ამ ღონისძიებას,,,
present at the event,ღონისძიებაზე დასწრება,,,
innocent of sth.,უდანაშაულო რამეში,,,
guilty of sth.,დამნაშავე რამეში,,,
even if you,მაშინაც კი,,,
fashionably late,მოდურად დაგვიანება,,,
What is working with Giorgi like?,როგორია გიორგისთან მუშაობა?,,,
overcome obstacles,გადალახო დაბრკოლებები,,,
resourceful,პრაქტიკული (ადამიანი),,,
on this very table,ზუსტად ამ მაგიდაზე,,,
answer to the question,პასუხი კითხვაზე,,,
valve,სარქველი,,,
anatomy,ანატომია,,,
good news is,კარგი ამბავი არის...,,,
start a family,შექმნა ოჯახი,,,
start a car,დაქოქო მანქანა,,,
achieve results,მიიღო შედეგები,,,
get results,მიიღო შედეგები,,,
once and for all,ერთხელ და სამუდამოდ,,,
win a scholarship,მოიგო სტიპენდია,,,
ice rink,საციგურაო მოედანი,,,
action plan,სამოქმედო გეგმა,,,
Where do you come from?,საიდან ხარ?,,,
What time will you be here?,რომელ საათზე იქნები აქ?,,,
parenthood,მშობლობა,,,
motherhood,დედობა,,,
childhood,ბავშვობა,,,
kingship,მეფობა,,,
It's pointless to do this.,უაზრობაა ამის გაკეთება,,,
It's no use doing this,უაზრობაა ამის გაკეთება,,,
There's no point [in] doing this.,უაზრობაა ამის გაკეთება,,,
It's no good doing this.,უაზრობაა ამის გაკეთება,,,
governor,"მმართველი, გუბერნატორი",,,
in pen/pencil,კალმით/ფანქრით,,,
anchor,"ღუზა, სატელევიზიო პროგრამის წამყვანი",,,
appliances,"ტექნიკა (საოჯახო, სამზარეულოს)",,,
line of credit,საკრედიტო ხაზი,,,
anticipate,"ლოდინი, განჭვრეტა",,,
rafting,ჯომარდობა,,,
coutius,ფრთხილი,,,
verdict,განაჩენი,,,
I have a sweet tooth,ტკბილეული მიყვარს,,,1
walnut,კაკალი,,,
